GID,"Last, First",First  Last,Date,Team,Opp,H/A,GameID,GTime(ET),Team pts,Opp pts,Start,Minutes,GP,active,FDP,DKP,DDP,YHP,Stats,DoubleD,TripleD,FD Sal,FD Change,DK Sal,DK Change,DD Sal,DD Change,YH Sal,YH Change,FD pos,DK pos,DD pos,YH pos,date
4935,"Maker, Thon",Thon Maker,20170108,mil,was,H,20170108-was-mil,14,101,107,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,4,4,4,4,2017-01-08
4916,"House, Danuel",Danuel House,20170108,was,mil,A,20170108-was-mil,14,107,101,0,0,0,0,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,3,2,2,2,2017-01-08
3553,"Pachulia, Zaza",Zaza Pachulia,20170108,gsw,sac,A,20170108-gsw-sac,21,117,106,1,22.11666667,1,1,26.4,27.25,27,26.4,10pt 7rb 2as 3st 1to 4-5fg 2-2ft,0,0,3800,0,3400,0,7800,750,10,0,5,5,5,5,2017-01-08
4274,"Cousins, DeMarcus",DeMarcus Cousins,20170108,sac,gsw,H,20170108-gsw-sac,21,106,117,1,29.3,1,1,37.5,43.5,42.5,38,17pt 10rb 5as 2st 2bl 7to 1trey 4-11fg 8-9ft,1,0,10800,-200,10800,-100,21950,450,56,0,5,45,45,4,2017-01-08
4114,"McGee, JaVale",JaVale McGee,20170108,gsw,sac,A,20170108-gsw-sac,21,117,106,0,3.916666667,1,1,3.2,3.25,3.25,3.2,2pt 1rb 1-1fg,0,0,3500,0,3000,0,5000,0,10,0,5,5,5,5,2017-01-08
4941,"Jones, Derrick",Derrick Jones,20170108,pho,cle,H,20170108-cle-pho,20.5,116,120,0,0,0,0,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,3,3,3,3,2017-01-08
4494,"Beal, Bradley",Bradley Beal,20170108,was,mil,A,20170108-was-mil,14,107,101,1,35.96666667,1,1,32.8,35.5,34,33.8,26pt 4rb 2as 1bl 3to 2trey 10-19fg 4-5ft,0,0,6900,-100,6600,-300,13500,350,28,0,2,2,2,2,2017-01-08
3054,"Terry, Jason",Jason Terry,20170108,mil,was,H,20170108-was-mil,14,101,107,0,17.55,1,1,9.2,10.75,11.25,9.7,5pt 1rb 2as 1st 2to 1trey 1-1fg 2-2ft,0,0,3500,0,3000,0,5000,0,10,0,1,1,12,2,2017-01-08
3641,"Iguodala, Andre",Andre Iguodala,20170108,gsw,sac,A,20170108-gsw-sac,21,117,106,0,28.55,1,1,25.9,26.75,26.25,26.4,8pt 7rb 5as 1st 1trey 3-6fg 1-2ft,0,0,3500,-200,3400,-100,7800,550,10,0,3,3,23,3,2017-01-08
3535,"Haslem, Udonis",Udonis Haslem,20170108,mia,lac,A,20170108-mia-lac,15.5,86,98,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,4,5,4,5,2017-01-08
4979,"Labissiere, Skal",Skal Labissiere,20170108,sac,gsw,H,20170108-gsw-sac,21,106,117,0,0,0,0,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,4,4,45,4,2017-01-08
3857,"Gay, Rudy",Rudy Gay,20170108,sac,gsw,H,20170108-gsw-sac,21,106,117,1,35.46666667,1,1,32.7,35.75,34.5,33.7,23pt 1rb 3as 2st 2bl 4to 2trey 9-17fg 3-4ft,0,0,7100,-100,6100,100,13650,350,29,0,3,3,34,3,2017-01-08
4023,"Smith, Jason",Jason Smith,20170108,was,mil,A,20170108-was-mil,14,107,101,0,5.283333333,1,1,5.6,5.75,5,5.6,0pt 3rb 1st 0-3fg,0,0,3600,100,3000,0,5000,0,10,0,4,45,45,4,2017-01-08
4581,"Green, JaMychal",JaMychal Green,20170108,mem,uta,H,20170108-uta-mem,20,88,79,1,31.81666667,1,1,18.2,19.5,19.25,18.7,8pt 6rb 1st 1bl 1to 1trey 3-5fg 1-2ft,0,0,4300,-400,4500,-500,8700,-1250,16,0,4,4,4,4,2017-01-08
4183,"Meeks, Jodie",Jodie Meeks,20170108,orl,lal,A,20170108-orl-lal,21.5,95,111,0,17.81666667,1,1,5.2,6.75,6.25,5.7,3pt 1rb 2as 2to 1trey 1-5fg,0,0,3800,-300,3400,-300,5650,200,10,0,2,2,2,2,2017-01-08
4318,"Turner, Evan",Evan Turner,20170108,por,det,H,20170108-det-por,21,124,125,0,25.28333333,1,1,16.1,17.75,17,16.1,4pt 3rb 5as 2st 3to 2-5fg,0,0,4700,-100,NA,NA,8450,-850,NA,NA,3,NA,23,NA,2017-01-08
3629,"Deng, Luol",Luol Deng,20170108,lal,orl,H,20170108-orl-lal,21.5,111,95,1,31.1,1,1,14.6,15.75,14.75,15.6,11pt 3rb 2trey 4-11fg 1-2ft,0,0,4800,300,4800,600,8750,750,18,0,3,3,34,3,2017-01-08
4074,"Love, Kevin",Kevin Love,20170108,cle,pho,A,20170108-cle-pho,20.5,120,116,1,35.85,1,1,39.5,43.5,43.25,41,25pt 10rb 1as 1bl 1to 3trey 8-17fg 6-6ft,1,0,8200,-100,8000,-100,16700,-700,42,0,4,45,45,4,2017-01-08
4280,"Favors, Derrick",Derrick Favors,20170108,uta,mem,A,20170108-uta-mem,20,79,88,1,24.61666667,1,1,8.1,9.75,8.5,8.1,4pt 3rb 1as 1st 3to 2-7fg,0,0,4300,-200,4900,-300,10300,0,15,0,4,45,45,4,2017-01-08
4056,"Watson, C.J.",C.J. Watson,20170108,orl,lal,A,20170108-orl-lal,21.5,95,111,0,0.883333333,1,1,0,0,-0.25,0,0pt 0-1fg,0,0,3500,0,3000,0,5000,0,10,0,1,12,1,1,2017-01-08
3474,"Barnes, Matt",Matt Barnes,20170108,sac,gsw,H,20170108-gsw-sac,21,106,117,0,18.48333333,1,1,9.1,9.75,8.75,9.1,0pt 3rb 3as 1st 1to 0-4fg,0,0,3800,0,3900,-500,7850,250,10,0,3,34,23,3,2017-01-08
3521,"Bosh, Chris",Chris Bosh,20170108,mia,lac,A,20170108-mia-lac,15.5,86,98,0,0,0,0,0,0,0,0,,0,0,NA,NA,3000,0,5000,-250,10,0,NA,4,45,4,2017-01-08
3678,"Udrih, Beno",Beno Udrih,20170108,det,por,A,20170108-det-por,21,125,124,0,0,0,1,0,0,0,0,,0,0,3500,0,NA,NA,5000,0,NA,NA,1,NA,1,NA,2017-01-08
4561,"Crabbe, Allen",Allen Crabbe,20170108,por,det,H,20170108-det-por,21,124,125,0,42.56666667,1,1,32.7,36.25,38,35.2,30pt 1rb 1as 1st 2to 5trey 12-15fg 1-1ft,0,0,4000,200,NA,NA,7550,-150,NA,NA,2,NA,12,NA,2017-01-08
4483,"Rivers, Austin",Austin Rivers,20170108,lac,mia,H,20170108-mia-lac,15.5,98,86,0,0,0,1,0,0,0,0,,0,0,4800,200,5200,-100,6650,-1000,14,0,1,1,12,1,2017-01-08
3990,"Gasol, Marc",Marc Gasol,20170108,mem,uta,H,20170108-uta-mem,20,88,79,1,33.8,1,1,27.3,28.5,25.5,27.3,17pt 4rb 1as 3st 2to 7-18fg 3-4ft,0,0,8100,-400,7000,-400,14150,-1900,33,-2,5,5,5,5,2017-01-08
4987,"Stone, Diamond",Diamond Stone,20170108,lac,mia,H,20170108-mia-lac,15.5,98,86,0,0,0,0,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,5,5,5,5,2017-01-08
3583,"Hamilton, Justin",Justin Hamilton,20170108,bkn,phi,H,20170108-phi-bkn,12,95,105,0,23.15,1,1,26,27.25,26.75,27,16pt 5rb 2bl 2trey 6-11fg 2-3ft,0,0,3700,200,3400,-100,6900,850,10,0,5,45,45,5,2017-01-08
4078,"Augustin, D.J.",D.J. Augustin,20170108,orl,lal,A,20170108-orl-lal,21.5,95,111,0,28.23333333,1,1,23,24.25,23.25,23.5,6pt 5rb 8as 1to 1trey 1-6fg 3-4ft,0,0,3600,100,3200,0,7900,600,10,0,1,1,1,1,2017-01-08
3514,"Barbosa, Leandro",Leandro Barbosa,20170108,pho,cle,H,20170108-cle-pho,20.5,116,120,0,3.666666667,1,1,-0.5,0.5,0.5,-0.5,0pt 1as 2to,0,0,3500,0,3000,0,5200,100,10,0,2,12,12,2,2017-01-08
4369,"Jackson, Reggie",Reggie Jackson,20170108,det,por,A,20170108-det-por,21,125,124,1,46.83333333,1,1,38.7,40.75,38.25,39.7,31pt 1rb 3as 2st 2to 2trey 13-26fg 3-4ft,0,0,7000,600,NA,NA,11950,1200,NA,NA,1,NA,12,NA,2017-01-08
4589,"McLemore, Ben",Ben McLemore,20170108,sac,gsw,H,20170108-gsw-sac,21,106,117,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,2,2,2,2,2017-01-08
4227,"Thornton, Marcus",Marcus Thornton,20170108,was,mil,A,20170108-was-mil,14,107,101,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,0,5550,300,10,0,2,2,23,2,2017-01-08
4997,"Layman, Jake",Jake Layman,20170108,por,det,H,20170108-det-por,21,124,125,0,0,0,1,0,0,0,0,,0,0,3500,0,NA,NA,5000,0,NA,NA,4,NA,4,NA,2017-01-08
4683,"Rudez, Damjan",Damjan Rudez,20170108,orl,lal,A,20170108-orl-lal,21.5,95,111,0,0.883333333,1,1,0,0,0,0,0pt,0,0,3500,0,3000,0,5000,0,10,0,3,3,23,2,2017-01-08
4007,"McRoberts, Josh",Josh McRoberts,20170108,mia,lac,A,20170108-mia-lac,15.5,86,98,0,0,0,0,0,0,0,0,,0,0,NA,NA,3000,0,6300,-400,10,0,NA,4,45,4,2017-01-08
4199,"Temple, Garrett",Garrett Temple,20170108,sac,gsw,H,20170108-gsw-sac,21,106,117,1,42.35,1,1,22.7,24.25,23.75,23.7,14pt 1rb 3as 1st 1bl 1to 2trey 5-9fg 2-4ft,0,0,4300,-100,3800,0,6750,350,10,-1,2,12,12,2,2017-01-08
4549,"Ross, Terrence",Terrence Ross,20170108,tor,hou,H,20170108-hou-tor,18,122,129,0,24.9,1,1,12.9,13.5,11.5,12.9,8pt 2rb 1as 1st 1to 4-12fg,0,0,4100,0,3900,0,7250,-50,10,0,3,23,23,2,2017-01-08
4705,"Gordon, Aaron",Aaron Gordon,20170108,orl,lal,A,20170108-orl-lal,21.5,95,111,1,24,1,1,8.7,10,8.25,8.7,2pt 6rb 1as 2to 0-5fg 2-4ft,0,0,4800,0,5600,700,11800,-350,15,0,3,34,34,3,2017-01-08
3307,"Chandler, Tyson",Tyson Chandler,20170108,pho,cle,H,20170108-cle-pho,20.5,116,120,1,31.91666667,1,1,29,31.75,31.5,29,10pt 15rb 1bl 1to 4-7fg 2-2ft,1,0,5400,400,4900,100,9050,-1300,15,0,5,5,5,5,2017-01-08
4680,"Randle, Julius",Julius Randle,20170108,lal,orl,H,20170108-orl-lal,21.5,111,95,1,34.11666667,1,1,39.3,41.25,39.75,39.8,19pt 9rb 5as 1st 1bl 2to 1trey 6-12fg 6-8ft,0,0,7300,200,7000,-200,12550,-50,30,3,4,45,4,4,2017-01-08
4809,"McCullough, Chris",Chris McCullough,20170108,bkn,phi,H,20170108-phi-bkn,12,95,105,0,0,0,0,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,4,4,4,4,2017-01-08
3573,"West, David",David West,20170108,gsw,sac,A,20170108-gsw-sac,21,117,106,0,15.2,1,1,12,12.75,12.25,12,2pt 5rb 2as 1st 1to 1-3fg,0,0,3500,0,3000,0,6550,500,10,0,4,4,4,4,2017-01-08
3765,"Ilyasova, Ersan",Ersan Ilyasova,20170108,phi,bkn,A,20170108-phi-bkn,12,105,95,1,25.75,1,1,27.4,28.25,25.5,27.9,14pt 7rb 2as 1bl 1trey 5-16fg 3-5ft,0,0,5900,100,6300,300,11200,0,20,0,4,4,34,4,2017-01-08
4972,"Felder, Kay",Kay Felder,20170108,cle,pho,A,20170108-cle-pho,20.5,120,116,0,7.633333333,1,1,2,2,1.75,2,2pt 1-2fg,0,0,3500,-300,3300,-400,5600,300,10,0,1,1,1,1,2017-01-08
4654,"Bullock, Reggie",Reggie Bullock,20170108,det,por,A,20170108-det-por,21,125,124,0,0,0,0,0,0,0,0,,0,0,3500,0,NA,NA,5000,0,NA,NA,2,NA,23,NA,2017-01-08
3929,"Rodriguez, Sergio",Sergio Rodriguez,20170108,phi,bkn,A,20170108-phi-bkn,12,105,95,0,11.95,1,1,7.5,8,7,7.5,4pt 3as 1to 2-6fg,0,0,4700,0,4400,0,10850,1400,15,0,1,1,1,1,2017-01-08
4049,"Tolliver, Anthony",Anthony Tolliver,20170108,sac,gsw,H,20170108-gsw-sac,21,106,117,1,31.8,1,1,26,27.75,28,27.5,16pt 5rb 2st 3trey 5-9fg 3-4ft,0,0,3500,-100,3300,-400,5000,0,10,0,4,34,34,4,2017-01-08
4984,"McClellan, Sheldon",Sheldon McClellan,20170108,was,mil,A,20170108-was-mil,14,107,101,0,12.03333333,1,1,15.6,16.25,16.25,16.1,8pt 3rb 2st 1trey 3-5fg 1-1ft,0,0,3500,0,3000,0,5000,0,10,0,2,2,2,2,2017-01-08
4733,"Harris, Joe",Joe Harris,20170108,bkn,phi,H,20170108-phi-bkn,12,95,105,1,16.01666667,1,1,6.5,7.25,6.25,6.5,0pt 5rb 1as 1to 0-4fg,0,0,3500,0,3200,0,7050,600,10,0,2,3,2,2,2017-01-08
4453,"Morris, Markieff",Markieff Morris,20170108,was,mil,A,20170108-was-mil,14,107,101,1,37.73333333,1,1,36.5,40.5,39.75,37,20pt 10rb 1as 3st 3to 1trey 9-15fg 1-2ft,1,0,4900,0,5000,100,11500,550,18,0,4,34,34,4,2017-01-08
4973,"Ochefu, Daniel",Daniel Ochefu,20170108,was,mil,A,20170108-was-mil,14,107,101,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,4,5,5,5,2017-01-08
4965,"Ingram, Brandon",Brandon Ingram,20170108,lal,orl,H,20170108-orl-lal,21.5,111,95,0,26.76666667,1,1,22.6,25.25,25.25,23.6,17pt 3rb 2as 1bl 3to 2trey 6-9fg 3-4ft,0,0,3700,-100,4000,800,7400,700,10,0,3,3,23,3,2017-01-08
4697,"Ennis, James",James Ennis,20170108,mem,uta,H,20170108-uta-mem,20,88,79,0,27.43333333,1,1,16.5,17.75,18,17,8pt 5rb 1as 1st 1to 1trey 2-3fg 3-3ft,0,0,3700,0,3600,-200,6850,-800,10,0,3,3,23,3,2017-01-08
3777,"Mahinmi, Ian",Ian Mahinmi,20170108,was,mil,A,20170108-was-mil,14,107,101,0,0,0,0,0,0,0,0,,0,0,3900,0,3000,0,5000,0,10,0,5,5,5,5,2017-01-08
4724,"Warren, T.J.",T.J. Warren,20170108,pho,cle,H,20170108-cle-pho,20.5,116,120,1,27.4,1,1,26.6,27.75,27.75,27.1,15pt 3rb 2as 3st 1to 1trey 7-9fg,0,0,4600,-100,4800,-300,8800,-700,19,0,3,3,3,3,2017-01-08
3756,"Gortat, Marcin",Marcin Gortat,20170108,was,mil,A,20170108-was-mil,14,107,101,1,37.36666667,1,1,20.4,22.5,21.5,20.4,7pt 12rb 1bl 3to 2-5fg 3-4ft,0,0,6600,100,6400,200,12550,300,25,0,5,5,5,5,2017-01-08
4653,"Porter, Otto",Otto Porter,20170108,was,mil,A,20170108-was-mil,14,107,101,1,38.56666667,1,1,35.9,38.75,39,37.4,13pt 7rb 7as 1st 2bl 2to 3trey 3-8fg 4-4ft,0,0,6000,400,5800,-200,12350,600,25,0,3,34,3,3,2017-01-08
4850,"Martin, Jarell",Jarell Martin,20170108,mem,uta,H,20170108-uta-mem,20,88,79,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,4,45,45,5,2017-01-08
4744,"Hood, Rodney",Rodney Hood,20170108,uta,mem,A,20170108-uta-mem,20,79,88,1,31.08333333,1,1,14.6,15.75,13.75,15.1,9pt 3rb 2as 1to 1trey 4-14fg,0,0,4200,0,4300,-200,10650,-50,16,-2,2,2,23,2,2017-01-08
4950,"Ulis, Tyler",Tyler Ulis,20170108,pho,cle,H,20170108-cle-pho,20.5,116,120,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,1,1,1,1,2017-01-08
4075,"Lopez, Brook",Brook Lopez,20170108,bkn,phi,H,20170108-phi-bkn,12,95,105,1,31.81666667,1,1,33.4,36,35.5,34.9,26pt 2rb 2as 1st 1bl 2to 3trey 8-16fg 7-7ft,0,0,7000,-500,6900,400,16250,1750,27,0,5,5,5,5,2017-01-08
4933,"Jones, Damian",Damian Jones,20170108,gsw,sac,A,20170108-gsw-sac,21,117,106,0,0,0,0,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,5,5,5,5,2017-01-08
4468,"Fournier, Evan",Evan Fournier,20170108,orl,lal,A,20170108-orl-lal,21.5,95,111,1,33.75,1,1,29.5,32.75,30.75,30.5,19pt 5rb 3as 2st 4to 2trey 6-16fg 5-7ft,0,0,5800,-200,6300,500,13050,-500,22,0,2,23,23,2,2017-01-08
4324,"Whiteside, Hassan",Hassan Whiteside,20170108,mia,lac,A,20170108-mia-lac,15.5,86,98,1,31.13333333,1,1,32.6,35.75,34.75,32.6,15pt 13rb 2bl 2to 7-12fg 1-2ft,1,0,8300,0,8000,0,17100,-1050,45,0,5,5,5,5,2017-01-08
5000,"Zimmerman, Stephen",Stephen Zimmerman,20170108,orl,lal,A,20170108-orl-lal,21.5,95,111,0,0,0,0,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,5,4,4,4,2017-01-08
4929,"Siakam, Pascal",Pascal Siakam,20170108,tor,hou,H,20170108-hou-tor,18,122,129,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,4,4,4,4,2017-01-08
4478,"Teletovic, Mirza",Mirza Teletovic,20170108,mil,was,H,20170108-was-mil,14,101,107,1,30.66666667,1,1,13.8,15,14,14.3,5pt 4rb 2as 1st 1to 1trey 2-8fg,0,0,3500,0,3100,100,7600,400,10,0,3,4,34,4,2017-01-08
3619,"Allen, Tony",Tony Allen,20170108,mem,uta,H,20170108-uta-mem,20,88,79,1,23.1,1,1,9,11.25,10.75,9,2pt 5rb 2as 1st 4to 1-3fg,0,0,4900,300,5100,400,8250,-1000,14,0,2,2,23,2,2017-01-08
4461,"Parsons, Chandler",Chandler Parsons,20170108,mem,uta,H,20170108-uta-mem,20,88,79,1,15.83333333,1,1,11.7,12.75,13.5,12.7,9pt 1rb 1as 2trey 3-4fg 1-1ft,0,0,3500,-100,3200,-200,7100,-850,10,0,3,3,34,3,2017-01-08
5013,"Brogdon, Malcolm",Malcolm Brogdon,20170108,mil,was,H,20170108-was-mil,14,101,107,1,35.91666667,1,1,34.7,37.75,37.25,35.7,22pt 1rb 5as 3st 1bl 4to 2trey 9-15fg 2-2ft,0,0,4600,0,5600,-100,6300,150,16,3,1,12,12,2,2017-01-08
4380,"Thompson, Tristan",Tristan Thompson,20170108,cle,pho,A,20170108-cle-pho,20.5,120,116,1,28.25,1,1,20.5,21.5,21,20.5,8pt 10rb 1as 1to 2-4fg 4-4ft,0,0,4900,200,5000,500,10200,-450,18,0,5,5,45,5,2017-01-08
4908,"Williams, Troy",Troy Williams,20170108,mem,uta,H,20170108-uta-mem,20,88,79,0,0,0,0,0,0,0,0,,0,0,3500,0,3000,0,5000,-250,10,0,3,2,23,2,2017-01-08
3547,"Korver, Kyle",Kyle Korver,20170108,cle,pho,A,20170108-cle-pho,20.5,120,116,0,0,0,0,0,0,0,0,,0,0,4200,0,4700,600,7250,-250,NA,NA,2,23,23,NA,2017-01-08
4856,"Dekker, Sam",Sam Dekker,20170108,hou,tor,A,20170108-hou-tor,18,129,122,0,11.05,1,1,5.6,5.75,5,5.6,0pt 3rb 1st 0-1fg 0-2ft,0,0,3500,0,3400,0,5900,50,10,0,3,34,34,3,2017-01-08
4530,"Harkless, Maurice",Maurice Harkless,20170108,por,det,H,20170108-det-por,21,124,125,1,25.65,1,1,9.9,11,10.25,10.4,5pt 2rb 1as 1bl 1to 1trey 1-4fg 2-4ft,0,0,4700,0,NA,NA,7900,-750,NA,NA,3,NA,3,NA,2017-01-08
4675,"McDaniels, K.J.",K.J. McDaniels,20170108,hou,tor,A,20170108-hou-tor,18,129,122,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,2,3,3,3,2017-01-08
4297,"Lin, Jeremy",Jeremy Lin,20170108,bkn,phi,H,20170108-phi-bkn,12,95,105,0,0,0,0,0,0,0,0,,0,0,6300,0,5100,0,13300,650,23,0,1,1,12,1,2017-01-08
4668,"Clarkson, Jordan",Jordan Clarkson,20170108,lal,orl,H,20170108-orl-lal,21.5,111,95,0,28.53333333,1,1,21.8,22.5,21.5,22.3,9pt 4rb 4as 1st 1trey 3-9fg 2-2ft,0,0,4300,-100,4300,-100,10300,-300,13,-2,1,12,12,1,2017-01-08
3740,"Calderon, Jose",Jose Calderon,20170108,lal,orl,H,20170108-orl-lal,21.5,111,95,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,1,1,1,1,2017-01-08
3669,"Smith, J.R.",J.R. Smith,20170108,cle,pho,A,20170108-cle-pho,20.5,120,116,0,0,0,1,0,0,0,0,,0,0,3500,0,3500,0,8400,-50,15,0,2,2,23,2,2017-01-08
4799,"Russell, D'Angelo",D'Angelo Russell,20170108,lal,orl,H,20170108-orl-lal,21.5,111,95,1,30.71666667,1,1,43.1,45.5,45.5,44.1,17pt 8rb 7as 3st 1bl 2to 2trey 7-10fg 1-2ft,0,0,6800,500,6500,300,12550,-400,24,2,1,1,1,1,2017-01-08
4885,"Booker, Devin",Devin Booker,20170108,pho,cle,H,20170108-cle-pho,20.5,116,120,1,45.1,1,1,42,44.25,41.75,43,28pt 5rb 4as 2st 2to 2trey 12-24fg 2-4ft,0,0,5800,-100,6200,-100,11050,-50,25,0,2,2,2,2,2017-01-08
4292,"Johnson, Wesley",Wesley Johnson,20170108,lac,mia,H,20170108-mia-lac,15.5,98,86,0,13.5,1,1,8,8.75,7.5,8,1pt 5rb 1st 1to 0-4fg 1-2ft,0,0,3500,0,3000,0,5000,-250,10,0,3,3,23,3,2017-01-08
3979,"Conley, Mike",Mike Conley,20170108,mem,uta,H,20170108-uta-mem,20,88,79,1,34.73333333,1,1,34.9,36.5,34.25,35.4,19pt 2rb 9as 1st 2to 1trey 8-18fg 2-3ft,0,0,6900,0,6700,100,13400,-1100,29,0,1,1,1,1,2017-01-08
4523,"Lillard, Damian",Damian Lillard,20170108,por,det,H,20170108-det-por,21,124,125,1,43.46666667,1,1,33.3,37.75,36.75,34.8,20pt 9rb 5as 5to 3trey 7-16fg 3-4ft,0,0,9100,0,NA,NA,18050,-350,NA,NA,1,NA,1,NA,2017-01-08
3408,"Hilario, Nene",Nene Hilario,20170108,hou,tor,A,20170108-hou-tor,18,129,122,1,12.55,1,1,10.9,11.5,11,10.9,8pt 2rb 1as 1to 4-5fg 0-1ft,0,0,3700,200,3400,-100,6600,250,10,0,5,5,45,5,2017-01-08
4503,"Ezeli, Festus",Festus Ezeli,20170108,por,det,H,20170108-det-por,21,124,125,0,0,0,0,0,0,0,0,,0,0,3500,0,NA,NA,5000,0,NA,NA,5,NA,5,NA,2017-01-08
4934,"VanVleet, Fred",Fred VanVleet,20170108,tor,hou,H,20170108-hou-tor,18,122,129,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,1,1,1,1,2017-01-08
4497,"Valanciunas, Jonas",Jonas Valanciunas,20170108,tor,hou,H,20170108-hou-tor,18,122,129,1,22.91666667,1,1,15,15.75,15.75,15,8pt 5rb 1bl 1to 4-4fg,0,0,5300,0,5400,200,12800,50,18,0,5,5,5,5,2017-01-08
4276,"Davis, Ed",Ed Davis,20170108,por,det,H,20170108-det-por,21,124,125,0,0,0,1,0,0,0,0,,0,0,3500,0,NA,NA,6150,-300,NA,NA,4,NA,45,NA,2017-01-08
4076,"Bayless, Jerryd",Jerryd Bayless,20170108,phi,bkn,A,20170108-phi-bkn,12,105,95,0,0,0,1,0,0,0,0,,0,0,NA,NA,3000,0,9050,1150,18,0,NA,1,12,2,2017-01-08
4264,"Babbitt, Luke",Luke Babbitt,20170108,mia,lac,A,20170108-mia-lac,15.5,86,98,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,3,4,3,4,2017-01-08
4803,"Huertas, Marcelo",Marcelo Huertas,20170108,lal,orl,H,20170108-orl-lal,21.5,111,95,0,0,0,1,0,0,0,0,,0,0,3500,-100,3000,0,5000,0,10,0,1,1,1,1,2017-01-08
4928,"Davis, Deyonta",Deyonta Davis,20170108,mem,uta,H,20170108-uta-mem,20,88,79,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,4,4,4,4,2017-01-08
4542,"Plumlee, Miles",Miles Plumlee,20170108,mil,was,H,20170108-was-mil,14,101,107,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,5,5,45,5,2017-01-08
4924,"Zubac, Ivica",Ivica Zubac,20170108,lal,orl,H,20170108-orl-lal,21.5,111,95,0,0,0,1,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,5,5,5,5,2017-01-08
4947,"Gbinije, Michael",Michael Gbinije,20170108,det,por,A,20170108-det-por,21,125,124,0,0,0,0,0,0,0,0,,0,0,3500,0,NA,NA,5000,0,NA,NA,2,NA,3,NA,2017-01-08
4615,"Burke, Trey",Trey Burke,20170108,was,mil,A,20170108-was-mil,14,107,101,0,11.2,1,1,9.9,11,11,9.9,0pt 2rb 5as 1st 2to,0,0,3500,0,3000,0,5000,0,10,0,1,1,1,1,2017-01-08
3747,"Felton, Raymond",Raymond Felton,20170108,lac,mia,H,20170108-mia-lac,15.5,98,86,1,36.8,1,1,25.9,27.25,25.75,26.4,7pt 7rb 5as 2st 1to 1trey 3-11fg,0,0,4100,-500,4100,-600,5000,-750,11,1,1,23,12,2,2017-01-08
4839,"Hilliard, Darrun",Darrun Hilliard,20170108,det,por,A,20170108-det-por,21,125,124,0,0,0,1,0,0,0,0,,0,0,3500,0,NA,NA,5000,0,NA,NA,2,NA,2,NA,2017-01-08
4992,"LeVert, Caris",Caris LeVert,20170108,bkn,phi,H,20170108-phi-bkn,12,95,105,0,21.1,1,1,10.6,11.75,11,10.6,6pt 3rb 2as 2to 3-5fg 0-1ft,0,0,3700,100,3300,300,5850,500,10,0,3,2,2,3,2017-01-08
4441,"Burks, Alec",Alec Burks,20170108,uta,mem,A,20170108-uta-mem,20,79,88,0,2.133333333,1,1,0,0,0,0,0pt,0,0,3900,0,3000,0,5000,0,11,0,2,2,12,2,2017-01-08
4621,"Antetokounmpo, Giannis",Giannis Antetokounmpo,20170108,mil,was,H,20170108-was-mil,14,101,107,0,0,0,1,0,0,0,0,,0,0,10800,100,10700,0,21350,1100,53,0,3,1,3,1,2017-01-08
4831,"McConnell, T.J.",T.J. McConnell,20170108,phi,bkn,A,20170108-phi-bkn,12,105,95,1,36.05,1,1,24.6,26,23.75,24.6,4pt 8rb 6as 2st 2to 2-11fg,0,0,5200,1100,5900,400,6600,850,14,0,1,1,1,1,2017-01-08
4700,"McAdoo, James Michael",James Michael McAdoo,20170108,gsw,sac,A,20170108-gsw-sac,21,117,106,0,0,0,0,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,4,4,4,4,2017-01-08
3001,"Peace, Metta World",Metta World Peace,20170108,lal,orl,H,20170108-orl-lal,21.5,111,95,0,0,0,0,0,0,0,0,,0,0,3500,0,3000,0,5000,0,10,0,3,3,34,3,2017-01-08
